item_name,view_users,cart_users,checkout_users,purchase_users,item_revenue,view_to_cart_pct,cart_to_checkout_pct,checkout_to_purchase_pct,view_to_purchase_pct
Google Seattle Campus Mug,285,146,75,62,793.0,51.23,51.37,82.67,21.75
Google Beekeepers Toddler Tee Pink,276,65,22,15,256.0,23.55,33.85,68.18,5.43
Google Austin Campus Unisex Tee,275,84,7,7,102.0,30.55,8.33,100.0,2.55
Google Women's Ringer Tee,274,95,1,1,14.0,34.67,1.05,100.0,0.36
Google Chicago Campus Mug,273,118,55,55,556.0,43.22,46.61,100.0,20.15
Android Pocket Tee Green,270,70,27,22,686.0,25.93,38.57,81.48,8.15
Google Sunnyvale Campus Tote,266,92,4,7,67.0,34.59,4.35,175.0,2.63
Google Color Block Tote White,261,59,0,0,0.0,22.61,0.0,,0.0
Google Keychain,259,112,82,68,657.0,43.24,73.21,82.93,26.25
Google Recycled Notebook Set Natural,257,43,9,9,138.0,16.73,20.93,100.0,3.5
Google PNW Campus Zip Hoodie,253,71,32,27,1052.0,28.06,45.07,84.38,10.67
Google Cork Journal,251,69,27,19,208.0,27.49,39.13,70.37,7.57
Google PNW Campus Mug,247,139,63,57,704.0,56.28,45.32,90.48,23.08
#IamRemarkable Tote,243,57,7,6,46.0,23.46,12.28,85.71,2.47
Stan and Friends Toddler Tee Green,241,48,20,23,446.0,19.92,41.67,115.0,9.54
Google Cambridge Campus Lapel Pin,239,40,13,5,15.0,16.74,32.5,38.46,2.09
Google Totepak,226,13,8,7,162.0,5.75,61.54,87.5,3.1
Google Bot,225,52,30,37,508.0,23.11,57.69,123.33,16.44
Google Women's Short Sleeve Hero Dark Grey,225,75,0,0,0.0,33.33,0.0,,0.0
Google Chicago Campus Unisex Tee,222,66,10,15,228.0,29.73,15.15,150.0,6.76
Google SF Campus Ladies Tee,220,64,15,15,302.0,29.09,23.44,100.0,6.82
Google LA Campus Unisex Tee,216,82,33,34,650.0,37.96,40.24,103.03,15.74
Google Mural Tote,214,33,7,10,176.0,15.42,21.21,142.86,4.67
Google Maps Pin,208,45,30,23,163.0,21.63,66.67,76.67,11.06
Google Lapel Pin,207,78,43,39,302.0,37.68,55.13,90.7,18.84
Google Boulder Campus Mug,206,96,34,32,283.0,46.6,35.42,94.12,15.53
Google Austin Campus Bottle,200,66,13,15,272.0,33.0,19.7,115.38,7.5
Google Chicago Campus Bottle,193,68,15,15,286.0,35.23,22.06,100.0,7.77
Google SF Campus Lapel Pin,193,71,15,13,47.0,36.79,21.13,86.67,6.74
Google Mountain View Tee Red,192,27,2,1,14.0,14.06,7.41,50.0,0.52
Google Austin Campus Ladies Tee,189,67,9,10,140.0,35.45,13.43,111.11,5.29
Google Yellow YoYo,183,45,21,18,125.0,24.59,46.67,85.71,9.84
Google PNW Campus Unisex Tee,182,68,16,17,256.0,37.36,23.53,106.25,9.34
Google Pen Red,180,84,37,28,93.0,46.67,44.05,75.68,15.56
Google LA Campus Bottle,174,64,15,11,124.0,36.78,23.44,73.33,6.32
Google Kirkland Campus Mug,170,73,23,19,314.0,42.94,31.51,82.61,11.18
Google Beekeepers Youth Tee Pink,162,44,14,11,224.0,27.16,31.82,78.57,6.79
Google Boulder Campus Unisex Tee,158,50,19,19,298.0,31.65,38.0,100.0,12.03
Google SF Campus Tote,156,63,38,35,400.0,40.38,60.32,92.11,22.44
Google Seattle Campus Unisex Tee,152,53,5,2,42.0,34.87,9.43,40.0,1.32
Google Chicago Campus Ladies Tee,150,44,8,9,168.0,29.33,18.18,112.5,6.0
Google PNW Campus Bottle,149,59,11,9,671.0,39.6,18.64,81.82,6.04
Google Austin Campus Tote,146,51,16,17,286.0,34.93,31.37,106.25,11.64
Google Large White Gift Bag 5/PK,141,39,7,10,159.0,27.66,17.95,142.86,7.09
Google Red YoYo,135,53,20,22,111.0,39.26,37.74,110.0,16.3
Google Small White Gift Bag 5/PK,133,33,9,9,79.0,24.81,27.27,100.0,6.77
Google Boulder Campus Bottle,131,45,5,4,66.0,34.35,11.11,80.0,3.05
"Android Iconic 4"" Decal",130,48,0,0,0.0,36.92,0.0,,0.0
Google Chicago Campus Tote,129,46,8,9,83.0,35.66,17.39,112.5,6.98
Google Emoji Magnet Set,127,47,35,35,376.0,37.01,74.47,100.0,27.56
Google LA Campus Lapel Pin,127,56,13,11,36.0,44.09,23.21,84.62,8.66
Google LA Campus Ladies Tee,124,46,12,12,268.0,37.1,26.09,100.0,9.68
Google Felt Strap Keyring,123,27,20,13,147.0,21.95,74.07,65.0,10.57
Google Confetti Tote White,116,31,1,0,0.0,26.72,3.23,0.0,0.0
Google Blue YoYo,111,51,20,21,113.0,45.95,39.22,105.0,18.92
Google Light Pen Yellow,111,51,2,1,2.0,45.95,3.92,50.0,0.9
Google Medium Pet Collar (Blue/Green),110,16,9,6,196.0,14.55,56.25,66.67,5.45
Google Seattle Campus Ladies Tee,108,46,6,5,84.0,42.59,13.04,83.33,4.63
Google Boulder Campus Ladies Tee,105,37,9,9,162.0,35.24,24.32,100.0,8.57
Google Seattle Campus Lapel Pin,101,49,11,7,23.0,48.51,22.45,63.64,6.93
Google PNW Campus Lapel Pin,100,41,6,7,21.0,41.0,14.63,116.67,7.0
Google Austin Campus Lapel Pin,98,41,13,12,43.0,41.84,31.71,92.31,12.24
Google PNW Campus Tote,95,41,8,6,59.0,43.16,19.51,75.0,6.32
Google Kirkland Campus Unisex Tee,94,31,21,20,424.0,32.98,67.74,95.24,21.28
Google Large Pet Collar (Blue/Green),94,13,8,6,168.0,13.83,61.54,75.0,6.38
Google Medium Pet Collar (Red/Yellow),92,17,7,5,140.0,18.48,41.18,71.43,5.43
Google LA Campus Tote,92,30,17,15,106.0,32.61,56.67,88.24,16.3
Google Boulder Campus Lapel Pin,91,35,8,4,17.0,38.46,22.86,50.0,4.4
Google Mountain View Campus Mug,87,0,0,0,0.0,0.0,,,0.0
Google Large Pet Leash (Blue/Green),86,16,8,7,203.0,18.6,50.0,87.5,8.14
Google Medium Pet Leash (Blue/Green),84,14,9,7,224.0,16.67,64.29,77.78,8.33
Google Medium Pet Leash (Red/Yellow),81,15,6,2,56.0,18.52,40.0,33.33,2.47
Google Chicago Campus Lapel Pin,71,31,11,7,25.0,43.66,35.48,63.64,9.86
Google Large Pet Collar (Red/Yellow),69,14,4,4,147.0,20.29,28.57,100.0,5.8
Google Large Pet Leash (Red/Yellow),67,10,6,7,238.0,14.93,60.0,116.67,10.45
Google Kirkland Campus Ladies Tee,67,26,8,9,154.0,38.81,30.77,112.5,13.43
Google SF Campus Mug,63,0,0,4,34.0,0.0,,,6.35
Google Felt Mason Jar,63,0,0,0,0.0,0.0,,,0.0
Google Tudes Thermal Bottle,59,0,0,2,72.0,0.0,,,3.39
Google Mountain View Campus Bottle,56,3,0,0,0.0,5.36,0.0,,0.0
Google Kirkland Campus Lapel Pin,54,19,3,2,6.0,35.19,15.79,66.67,3.7
Android Flex Journal White,53,20,4,2,6.0,37.74,20.0,50.0,3.77
Google PNW Campus Ladies Tee,52,20,5,6,92.0,38.46,25.0,120.0,11.54
Google Mountain View Campus Tote,39,0,0,0,0.0,0.0,,,0.0
Gift Card - $25.00,35,11,7,6,1125.0,31.43,63.64,85.71,17.14
Google Boulder Campus Tote,35,14,7,6,36.0,40.0,50.0,85.71,17.14
Google Green YoYo,34,0,0,0,0.0,0.0,,,0.0
White Google Cloud Tumbler,33,5,0,0,0.0,15.15,0.0,,0.0
Android Cardboard Sculpture,33,5,1,0,0.0,15.15,20.0,0.0,0.0
Gift Card - $50.00,32,9,5,3,250.0,28.13,55.56,60.0,9.38
Google Charcoal Unisex Badge Tee,32,6,0,0,0.0,18.75,0.0,,0.0
Google Grey Women's Tee,30,6,0,0,0.0,20.0,0.0,,0.0
